# Geschwindigkeit Schwebungsfrequenz
4.952456418383518327e-02 4.400000000000000355e+00
9.690211395688601292e-02 2.080000000000000071e+01
1.414827391058290917e-01 2.519999999999999929e+01
1.840890424537653391e-01 2.600000000000000000e+01
2.252720593331947463e-01 1.380000000000000071e+01
-4.952456418383518327e-02 -5.200000000000000178e+00
-9.690211395688601292e-02 -1.500000000000000000e+01
-1.414827391058290917e-01 -2.680000000000000071e+01
-1.840890424537653391e-01 -2.680000000000000071e+01
-2.252720593331947463e-01 -2.639999999999999858e+01
