# Gang nu[Hz] 
6.000000000000000000e+00 1.797200000000000000e+04
6.000000000000000000e+00 1.797100000000000000e+04
6.000000000000000000e+00 1.797200000000000000e+04
6.000000000000000000e+00 1.797100000000000000e+04
6.000000000000000000e+00 1.797200000000000000e+04
1.200000000000000000e+01 1.797700000000000000e+04
1.200000000000000000e+01 1.797400000000000000e+04
1.200000000000000000e+01 1.797200000000000000e+04
1.200000000000000000e+01 1.797400000000000000e+04
1.200000000000000000e+01 1.797300000000000000e+04
1.800000000000000000e+01 1.797400000000000000e+04
1.800000000000000000e+01 1.797700000000000000e+04
1.800000000000000000e+01 1.797700000000000000e+04
1.800000000000000000e+01 1.797900000000000000e+04
1.800000000000000000e+01 1.797400000000000000e+04
2.400000000000000000e+01 1.798200000000000000e+04
2.400000000000000000e+01 1.798000000000000000e+04
2.400000000000000000e+01 1.798000000000000000e+04
2.400000000000000000e+01 1.798500000000000000e+04
2.400000000000000000e+01 1.798300000000000000e+04
3.000000000000000000e+01 1.798600000000000000e+04
3.000000000000000000e+01 1.798400000000000000e+04
3.000000000000000000e+01 1.798300000000000000e+04
3.000000000000000000e+01 1.798200000000000000e+04
3.000000000000000000e+01 1.798300000000000000e+04
