# Gang Frequenz Fehler
6.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000096e-04
6.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000559e-04
6.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000192e-04
6.000000000000000000e+00 8.000000000000000000e+00 8.000000000000000383e-04
6.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000559e-04
1.200000000000000000e+01 1.500000000000000000e+01 1.500000000000000031e-03
1.200000000000000000e+01 2.000000000000000000e+01 2.000000000000000042e-03
1.200000000000000000e+01 1.300000000000000000e+01 1.300000000000000157e-03
1.200000000000000000e+01 1.500000000000000000e+01 1.500000000000000031e-03
1.200000000000000000e+01 1.200000000000000000e+01 1.200000000000000112e-03
1.800000000000000000e+01 1.900000000000000000e+01 1.899999999999999996e-03
1.800000000000000000e+01 2.500000000000000000e+01 2.500000000000000052e-03
1.800000000000000000e+01 1.800000000000000000e+01 1.800000000000000168e-03
1.800000000000000000e+01 1.600000000000000000e+01 1.600000000000000077e-03
1.800000000000000000e+01 1.400000000000000000e+01 1.399999999999999986e-03
2.400000000000000000e+01 2.900000000000000000e+01 2.900000000000000234e-03
2.400000000000000000e+01 2.700000000000000000e+01 2.700000000000000143e-03
2.400000000000000000e+01 2.900000000000000000e+01 2.900000000000000234e-03
2.400000000000000000e+01 2.400000000000000000e+01 2.400000000000000223e-03
2.400000000000000000e+01 2.500000000000000000e+01 2.500000000000000052e-03
3.000000000000000000e+01 2.700000000000000000e+01 2.700000000000000143e-03
3.000000000000000000e+01 3.000000000000000000e+01 3.000000000000000062e-03
3.000000000000000000e+01 2.900000000000000000e+01 2.900000000000000234e-03
3.000000000000000000e+01 2.600000000000000000e+01 2.600000000000000314e-03
3.000000000000000000e+01 2.000000000000000000e+01 2.000000000000000042e-03
