# Gang t[s]
6.000000000000000000e+00 2.640899999999999803e+00
6.000000000000000000e+00 2.632800000000000029e+00
6.000000000000000000e+00 2.606500000000000039e+00
6.000000000000000000e+00 2.618799999999999795e+00
6.000000000000000000e+00 2.625799999999999912e+00
1.200000000000000000e+01 1.344200000000000061e+00
1.200000000000000000e+01 1.338300000000000045e+00
1.200000000000000000e+01 1.342300000000000049e+00
1.200000000000000000e+01 1.342899999999999983e+00
1.200000000000000000e+01 1.340100000000000069e+00
1.800000000000000000e+01 9.144999999999999796e-01
1.800000000000000000e+01 9.242000000000000215e-01
1.800000000000000000e+01 9.196999999999999620e-01
1.800000000000000000e+01 9.202000000000000179e-01
1.800000000000000000e+01 9.155999999999999694e-01
2.400000000000000000e+01 7.086999999999999966e-01
2.400000000000000000e+01 7.044000000000000261e-01
2.400000000000000000e+01 7.075000000000000178e-01
2.400000000000000000e+01 7.039999999999999591e-01
2.400000000000000000e+01 7.063000000000000389e-01
3.000000000000000000e+01 5.748999999999999666e-01
3.000000000000000000e+01 5.770999999999999464e-01
3.000000000000000000e+01 5.787999999999999812e-01
3.000000000000000000e+01 5.759999999999999565e-01
3.000000000000000000e+01 5.786000000000000032e-01
