[front_panel]
mode=T2 - R2
output=5 dB
gain=10 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2730
units=0

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
0,000E+00	1,947E+00	
6,104E-03	9,094E-01	
1,221E-02	3,185E-01	
1,831E-02	2,171E-01	
2,441E-02	3,696E-01	
3,052E-02	3,703E-01	
3,662E-02	3,802E-01	
4,272E-02	5,547E-01	
4,883E-02	3,582E-01	
5,493E-02	2,596E-01	
6,104E-02	2,133E-01	
6,714E-02	1,416E-01	
7,324E-02	2,413E-01	
7,935E-02	2,356E-01	
8,545E-02	2,555E-01	
9,155E-02	3,007E-01	
9,766E-02	3,606E-01	
1,038E-01	4,197E-01	
1,099E-01	3,256E-01	
1,160E-01	5,054E-01	
1,221E-01	6,082E-01	
1,282E-01	3,946E-01	
1,343E-01	4,821E-01	
1,404E-01	5,514E-01	
1,465E-01	5,912E-01	
1,526E-01	4,734E-01	
1,587E-01	4,260E-01	
1,648E-01	5,360E-01	
1,709E-01	1,944E-01	
1,770E-01	6,603E-01	
1,831E-01	8,466E-01	
1,892E-01	3,417E-01	
1,953E-01	3,905E-01	
2,014E-01	5,063E-01	
2,075E-01	3,774E-01	
2,136E-01	3,529E-01	
2,197E-01	7,064E-01	
2,258E-01	6,511E-01	
2,319E-01	4,397E-01	
2,380E-01	7,204E-01	
2,441E-01	4,713E-01	
2,502E-01	5,389E-01	
2,563E-01	4,561E-01	
2,625E-01	6,393E-01	
2,686E-01	3,408E-01	
2,747E-01	5,007E-01	
2,808E-01	4,559E-01	
2,869E-01	8,211E-01	
2,930E-01	3,455E-01	
2,991E-01	3,263E-01	
3,052E-01	4,291E-01	
3,113E-01	6,213E-01	
3,174E-01	2,722E-01	
3,235E-01	5,130E-01	
3,296E-01	8,200E-01	
3,357E-01	3,369E-01	
3,418E-01	2,211E-01	
3,479E-01	6,140E-01	
3,540E-01	7,561E-01	
3,601E-01	2,999E-01	
3,662E-01	1,954E-01	
3,723E-01	6,721E-01	
3,784E-01	4,978E-01	
3,845E-01	4,984E-01	
3,906E-01	4,919E-01	
3,967E-01	7,397E-01	
4,028E-01	3,164E-01	
4,089E-01	2,458E-01	
4,150E-01	4,000E-01	
4,211E-01	5,754E-01	
4,272E-01	2,615E-02	
4,333E-01	6,580E-01	
4,395E-01	6,473E-01	
4,456E-01	1,867E-01	
4,517E-01	4,434E-01	
4,578E-01	7,719E-01	
4,639E-01	3,530E-01	
4,700E-01	3,117E-01	
4,761E-01	1,509E-01	
4,822E-01	6,164E-01	
4,883E-01	2,514E-01	
4,944E-01	6,825E-01	
5,005E-01	5,092E-01	
5,066E-01	4,980E-01	
5,127E-01	1,710E-01	
5,188E-01	6,236E-01	
5,249E-01	8,456E-01	
5,310E-01	2,869E-01	
5,371E-01	6,229E-01	
5,432E-01	5,352E-01	
5,493E-01	5,721E-01	
5,554E-01	2,010E-01	
5,615E-01	6,363E-01	
5,676E-01	5,587E-01	
5,737E-01	1,870E-01	
5,798E-01	7,365E-01	
5,859E-01	7,403E-01	
5,920E-01	5,821E-01	
5,981E-01	4,279E-01	
6,042E-01	7,169E-01	
6,104E-01	8,469E-01	
6,165E-01	2,362E-01	
6,226E-01	4,166E-01	
6,287E-01	9,769E-01	
6,348E-01	8,545E-01	
6,409E-01	3,128E-01	
6,470E-01	6,138E-01	
6,531E-01	1,040E+00	
6,592E-01	2,159E-01	
6,653E-01	1,069E+00	
6,714E-01	1,026E+00	
6,775E-01	6,839E-01	
6,836E-01	2,919E-01	
6,897E-01	1,214E+00	
6,958E-01	8,931E-01	
7,019E-01	5,733E-01	
7,080E-01	4,818E-01	
7,141E-01	1,496E+00	
7,202E-01	8,947E-01	
7,263E-01	5,649E-01	
7,324E-01	1,279E+00	
7,385E-01	1,556E+00	
7,446E-01	4,161E-01	
7,507E-01	7,861E-01	
7,568E-01	1,035E+00	
7,629E-01	3,794E-01	
7,690E-01	1,283E+00	
7,751E-01	1,099E+00	
7,813E-01	8,812E-01	
7,874E-01	9,590E-02	
7,935E-01	1,450E+00	
7,996E-01	1,288E+00	
8,057E-01	1,018E+00	
8,118E-01	5,618E-01	
8,179E-01	1,431E+00	
8,240E-01	1,127E+00	
8,301E-01	7,632E-01	
8,362E-01	1,619E+00	
8,423E-01	1,721E+00	
8,484E-01	8,819E-01	
8,545E-01	1,152E+00	
8,606E-01	1,633E+00	
8,667E-01	1,158E+00	
8,728E-01	5,034E-01	
8,789E-01	1,114E+00	
8,850E-01	1,569E+00	
8,911E-01	4,064E-01	
8,972E-01	1,749E+00	
9,033E-01	1,979E+00	
9,094E-01	9,933E-01	
9,155E-01	8,850E-01	
9,216E-01	1,574E+00	
9,277E-01	1,454E+00	
9,338E-01	9,825E-01	
9,399E-01	1,641E+00	
9,460E-01	1,818E+00	
9,521E-01	1,148E+00	
9,583E-01	1,327E+00	
9,644E-01	2,282E+00	
9,705E-01	1,578E+00	
9,766E-01	1,273E+00	
9,827E-01	1,987E+00	
9,888E-01	1,743E+00	
9,949E-01	1,187E+00	
1,001E+00	1,402E+00	
1,007E+00	1,901E+00	
1,013E+00	1,048E+00	
1,019E+00	1,272E+00	
1,025E+00	1,672E+00	
1,031E+00	1,942E+00	
1,038E+00	1,382E+00	
1,044E+00	1,959E+00	
1,050E+00	2,593E+00	
1,056E+00	1,606E+00	
1,062E+00	1,878E+00	
1,068E+00	2,483E+00	
1,074E+00	2,068E+00	
1,080E+00	1,799E+00	
1,086E+00	2,308E+00	
1,093E+00	2,358E+00	
1,099E+00	1,832E+00	
1,105E+00	2,276E+00	
1,111E+00	2,418E+00	
1,117E+00	1,981E+00	
1,123E+00	1,905E+00	
1,129E+00	2,570E+00	
1,135E+00	1,480E+00	
1,141E+00	1,551E+00	
1,147E+00	2,436E+00	
1,154E+00	2,499E+00	
1,160E+00	1,672E+00	
1,166E+00	2,945E+00	
1,172E+00	3,667E+00	
1,178E+00	2,638E+00	
1,184E+00	3,243E+00	
1,190E+00	4,365E+00	
1,196E+00	3,430E+00	
1,202E+00	1,898E+00	
1,208E+00	3,246E+00	
1,215E+00	3,166E+00	
1,221E+00	2,164E+00	
1,227E+00	2,414E+00	
1,233E+00	3,026E+00	
1,239E+00	8,632E-01	
1,245E+00	2,088E+00	
1,251E+00	4,289E+00	
1,257E+00	3,609E+00	
1,263E+00	9,683E-01	
1,270E+00	4,116E+00	
1,276E+00	4,997E+00	
1,282E+00	3,390E+00	
1,288E+00	3,913E+00	
1,294E+00	5,666E+00	
1,300E+00	4,257E+00	
1,306E+00	1,213E+00	
1,312E+00	3,560E+00	
1,318E+00	4,504E+00	
1,324E+00	2,025E+00	
1,331E+00	2,969E+00	
1,337E+00	4,509E+00	
1,343E+00	2,535E+00	
1,349E+00	3,012E+00	
1,355E+00	6,177E+00	
1,361E+00	6,575E+00	
1,367E+00	2,314E+00	
1,373E+00	3,296E+00	
1,379E+00	5,114E+00	
1,385E+00	3,023E+00	
1,392E+00	2,645E+00	
1,398E+00	5,364E+00	
1,404E+00	3,854E+00	
1,410E+00	1,741E+00	
1,416E+00	6,786E+00	
1,422E+00	7,851E+00	
1,428E+00	4,907E+00	
1,434E+00	2,513E+00	
1,440E+00	6,363E+00	
1,447E+00	4,836E+00	
1,453E+00	2,140E+00	
1,459E+00	6,133E+00	
1,465E+00	7,038E+00	
1,471E+00	4,205E+00	
1,477E+00	5,708E+00	
1,483E+00	7,976E+00	
1,489E+00	5,603E+00	
1,495E+00	1,817E+00	
1,501E+00	5,497E+00	
1,508E+00	4,542E+00	
1,514E+00	1,448E+00	
1,520E+00	6,409E+00	
1,526E+00	8,190E+00	
1,532E+00	4,982E+00	
1,538E+00	2,503E+00	
1,544E+00	6,683E+00	
1,550E+00	5,812E+00	
1,556E+00	1,306E+00	
1,563E+00	3,860E+00	
1,569E+00	4,891E+00	
1,575E+00	2,697E+00	
1,581E+00	6,734E+00	
1,587E+00	1,012E+01	
1,593E+00	7,806E+00	
1,599E+00	3,352E+00	
1,605E+00	7,362E+00	
1,611E+00	8,252E+00	
1,617E+00	2,967E+00	
1,624E+00	3,457E+00	
1,630E+00	6,608E+00	
1,636E+00	5,050E+00	
1,642E+00	3,686E+00	
1,648E+00	6,460E+00	
1,654E+00	6,158E+00	
1,660E+00	2,603E+00	
1,666E+00	2,347E+00	
1,672E+00	3,541E+00	
1,678E+00	6,078E-01	
1,685E+00	4,473E+00	
1,691E+00	7,735E+00	
1,697E+00	7,259E+00	
1,703E+00	5,552E+00	
1,709E+00	7,835E+00	
1,715E+00	8,998E+00	
1,721E+00	4,406E+00	
1,727E+00	2,035E+00	
1,733E+00	4,895E+00	
1,740E+00	3,517E+00	
1,746E+00	2,042E+00	
1,752E+00	6,303E+00	
1,758E+00	7,703E+00	
1,764E+00	6,029E+00	
1,770E+00	3,056E+00	
1,776E+00	2,720E+00	
1,782E+00	2,217E+00	
1,788E+00	2,016E+00	
1,794E+00	2,663E+00	
1,801E+00	2,331E+00	
1,807E+00	4,272E+00	
1,813E+00	7,373E+00	
1,819E+00	8,201E+00	
1,825E+00	5,980E+00	
1,831E+00	3,921E+00	
1,837E+00	4,841E+00	
1,843E+00	4,008E+00	
1,849E+00	6,195E-01	
1,855E+00	3,132E+00	
1,862E+00	3,643E+00	
1,868E+00	2,635E+00	
1,874E+00	3,920E+00	
1,880E+00	5,460E+00	
1,886E+00	4,228E+00	
1,892E+00	1,527E+00	
1,898E+00	1,327E+00	
1,904E+00	1,110E+00	
1,910E+00	2,675E+00	
1,917E+00	4,766E+00	
1,923E+00	5,483E+00	
1,929E+00	4,738E+00	
1,935E+00	5,486E+00	
1,941E+00	6,995E+00	
1,947E+00	5,549E+00	
1,953E+00	1,752E+00	
1,959E+00	1,819E+00	
1,965E+00	2,684E+00	
1,971E+00	4,801E-01	
1,978E+00	4,098E+00	
1,984E+00	5,163E+00	
1,990E+00	4,154E+00	
1,996E+00	2,711E+00	
2,002E+00	4,023E+00	
2,008E+00	3,266E+00	
2,014E+00	1,933E+00	
2,020E+00	3,076E+00	
2,026E+00	4,233E+00	
2,032E+00	2,828E+00	
2,039E+00	4,699E+00	
2,045E+00	7,965E+00	
2,051E+00	8,050E+00	
2,057E+00	4,468E+00	
2,063E+00	4,196E+00	
2,069E+00	5,947E+00	
2,075E+00	3,555E+00	
2,081E+00	2,186E+00	
2,087E+00	5,180E+00	
2,094E+00	3,667E+00	
2,100E+00	1,881E+00	
2,106E+00	5,761E+00	
2,112E+00	7,116E+00	
2,118E+00	4,272E+00	
2,124E+00	3,967E-01	
2,130E+00	2,833E+00	
2,136E+00	1,064E+00	
2,142E+00	4,154E+00	
2,148E+00	8,028E+00	
2,155E+00	8,442E+00	
2,161E+00	4,460E+00	
2,167E+00	5,829E+00	
2,173E+00	9,818E+00	
2,179E+00	8,610E+00	
2,185E+00	2,827E+00	
2,191E+00	3,436E+00	
2,197E+00	4,000E+00	
2,203E+00	3,226E-01	
2,209E+00	5,211E+00	
2,216E+00	7,983E+00	
2,222E+00	5,359E+00	
2,228E+00	1,120E+00	
