# Schwingungsdauermittel Abweichung
2.516666666666667052e+00 6.417568479197108440e-03
3.233333333333332948e+00 9.157065679127432065e-03
3.648000000000000131e+00 5.887840577551803345e-03
4.082666666666667332e+00 3.569417423157405025e-03
4.560666666666667091e+00 6.820448556988129019e-03
5.085333333333333705e+00 2.830521480549432617e-02
5.557999999999999829e+00 3.334666400106612444e-02
6.049333333333334117e+00 1.072207829494642960e-02
6.590000000000000746e+00 8.640987597877246990e-03
7.068666666666667986e+00 3.311036539055687514e-03
