# Gang nu[Hz] 
6.000000000000000000e+00 1.797300000000000000e+04
6.000000000000000000e+00 1.796600000000000000e+04
6.000000000000000000e+00 1.796800000000000000e+04
6.000000000000000000e+00 1.796900000000000000e+04
6.000000000000000000e+00 1.797000000000000000e+04
1.200000000000000000e+01 1.796600000000000000e+04
1.200000000000000000e+01 1.796700000000000000e+04
1.200000000000000000e+01 1.796600000000000000e+04
1.200000000000000000e+01 1.796300000000000000e+04
1.200000000000000000e+01 1.796300000000000000e+04
1.800000000000000000e+01 1.796300000000000000e+04
1.800000000000000000e+01 1.796300000000000000e+04
1.800000000000000000e+01 1.796400000000000000e+04
1.800000000000000000e+01 1.796300000000000000e+04
1.800000000000000000e+01 1.796400000000000000e+04
2.400000000000000000e+01 1.796000000000000000e+04
2.400000000000000000e+01 1.796300000000000000e+04
2.400000000000000000e+01 1.796000000000000000e+04
2.400000000000000000e+01 1.796200000000000000e+04
2.400000000000000000e+01 1.796200000000000000e+04
3.000000000000000000e+01 1.795700000000000000e+04
3.000000000000000000e+01 1.795800000000000000e+04
3.000000000000000000e+01 1.795700000000000000e+04
3.000000000000000000e+01 1.795800000000000000e+04
3.000000000000000000e+01 1.796000000000000000e+04
