# Gang Frequenz Fehler
6.000000000000000000e+00 1.797200000000000000e+04 1.797200000000000131e+00
6.000000000000000000e+00 1.797100000000000000e+04 1.797100000000000142e+00
6.000000000000000000e+00 1.797200000000000000e+04 1.797200000000000131e+00
6.000000000000000000e+00 1.797100000000000000e+04 1.797100000000000142e+00
6.000000000000000000e+00 1.797200000000000000e+04 1.797200000000000131e+00
1.200000000000000000e+01 1.797700000000000000e+04 1.797700000000000076e+00
1.200000000000000000e+01 1.797400000000000000e+04 1.797400000000000109e+00
1.200000000000000000e+01 1.797200000000000000e+04 1.797200000000000131e+00
1.200000000000000000e+01 1.797400000000000000e+04 1.797400000000000109e+00
1.200000000000000000e+01 1.797300000000000000e+04 1.797300000000000120e+00
1.800000000000000000e+01 1.797400000000000000e+04 1.797400000000000109e+00
1.800000000000000000e+01 1.797700000000000000e+04 1.797700000000000076e+00
1.800000000000000000e+01 1.797700000000000000e+04 1.797700000000000076e+00
1.800000000000000000e+01 1.797900000000000000e+04 1.797900000000000054e+00
1.800000000000000000e+01 1.797400000000000000e+04 1.797400000000000109e+00
2.400000000000000000e+01 1.798200000000000000e+04 1.798200000000000021e+00
2.400000000000000000e+01 1.798000000000000000e+04 1.798000000000000043e+00
2.400000000000000000e+01 1.798000000000000000e+04 1.798000000000000043e+00
2.400000000000000000e+01 1.798500000000000000e+04 1.798499999999999988e+00
2.400000000000000000e+01 1.798300000000000000e+04 1.798300000000000010e+00
3.000000000000000000e+01 1.798600000000000000e+04 1.798599999999999977e+00
3.000000000000000000e+01 1.798400000000000000e+04 1.798399999999999999e+00
3.000000000000000000e+01 1.798300000000000000e+04 1.798300000000000010e+00
3.000000000000000000e+01 1.798200000000000000e+04 1.798200000000000021e+00
3.000000000000000000e+01 1.798300000000000000e+04 1.798300000000000010e+00
