# Gang Frequenz Fehler
6.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000559e-04
6.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000192e-04
6.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000096e-04
6.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000192e-04
6.000000000000000000e+00 6.000000000000000000e+00 6.000000000000000559e-04
1.200000000000000000e+01 1.700000000000000000e+01 1.700000000000000122e-03
1.200000000000000000e+01 2.400000000000000000e+01 2.400000000000000223e-03
1.200000000000000000e+01 2.000000000000000000e+01 2.000000000000000042e-03
1.200000000000000000e+01 2.700000000000000000e+01 2.700000000000000143e-03
1.200000000000000000e+01 1.600000000000000000e+01 1.600000000000000077e-03
1.800000000000000000e+01 2.600000000000000000e+01 2.600000000000000314e-03
1.800000000000000000e+01 2.900000000000000000e+01 2.900000000000000234e-03
1.800000000000000000e+01 2.600000000000000000e+01 2.600000000000000314e-03
1.800000000000000000e+01 2.100000000000000000e+01 2.100000000000000304e-03
1.800000000000000000e+01 2.400000000000000000e+01 2.400000000000000223e-03
2.400000000000000000e+01 2.900000000000000000e+01 2.900000000000000234e-03
2.400000000000000000e+01 2.700000000000000000e+01 2.700000000000000143e-03
2.400000000000000000e+01 2.200000000000000000e+01 2.200000000000000133e-03
2.400000000000000000e+01 2.800000000000000000e+01 2.799999999999999972e-03
2.400000000000000000e+01 2.400000000000000000e+01 2.400000000000000223e-03
3.000000000000000000e+01 2.700000000000000000e+01 2.700000000000000143e-03
3.000000000000000000e+01 2.800000000000000000e+01 2.799999999999999972e-03
3.000000000000000000e+01 4.000000000000000000e+00 4.000000000000000192e-04
3.000000000000000000e+01 5.000000000000000000e+00 5.000000000000000104e-04
3.000000000000000000e+01 5.000000000000000000e+00 5.000000000000000104e-04
