# f U_g U_c a b 
3.200000000000000000e+04 4.459999999999999964e+00 1.639999999999999858e+01 6.709999999999999964e+00 3.126000000000000156e+01
3.300000000000000000e+04 4.320000000000000284e+00 1.700000000000000000e+01 6.400000000000000355e+00 3.026999999999999957e+01
3.400000000000000000e+04 4.320000000000000284e+00 1.689999999999999858e+01 7.360000000000000320e+00 2.946000000000000085e+01
3.500000000000000000e+04 4.320000000000000284e+00 1.590000000000000036e+01 9.320000000000000284e+00 2.850000000000000000e+01
3.600000000000000000e+04 4.360000000000000320e+00 1.459999999999999964e+01 9.800000000000000711e+00 2.785000000000000142e+01
3.700000000000000000e+04 4.400000000000000355e+00 1.300000000000000000e+01 1.030000000000000071e+01 2.694999999999999929e+01
3.800000000000000000e+04 4.480000000000000426e+00 1.150000000000000000e+01 1.050000000000000000e+01 2.632000000000000028e+01
3.900000000000000000e+04 4.480000000000000426e+00 1.030000000000000071e+01 9.720000000000000639e+00 2.564000000000000057e+01
4.000000000000000000e+04 4.519999999999999574e+00 9.039999999999999147e+00 9.800000000000000711e+00 2.492000000000000171e+01
4.100000000000000000e+04 4.559999999999999609e+00 8.080000000000000071e+00 1.040000000000000036e+01 2.437999999999999901e+01
4.200000000000000000e+04 4.519999999999999574e+00 7.320000000000000284e+00 1.030000000000000071e+01 2.392000000000000171e+01
4.300000000000000000e+04 4.559999999999999609e+00 6.599999999999999645e+00 9.699999999999999289e+00 2.323999999999999844e+01
4.400000000000000000e+04 4.559999999999999609e+00 6.000000000000000000e+00 9.400000000000000355e+00 2.273999999999999844e+01
4.500000000000000000e+04 4.599999999999999645e+00 5.480000000000000426e+00 9.599999999999999645e+00 2.226999999999999957e+01
