# g_1[cm] b_1[cm] g_2[cm] b_2[cm] 
2.280000000000000071e+01 1.719999999999999929e+01 1.669999999999999929e+01 2.330000000000000071e+01
2.780000000000000071e+01 1.519999999999999929e+01 1.490000000000000036e+01 2.810000000000000142e+01
3.429999999999999716e+01 1.369999999999999929e+01 1.359999999999999964e+01 3.439999999999999858e+01
3.970000000000000284e+01 1.330000000000000071e+01 1.309999999999999964e+01 3.989999999999999858e+01
4.520000000000000284e+01 1.280000000000000071e+01 1.219999999999999929e+01 4.579999999999999716e+01
5.050000000000000000e+01 1.250000000000000000e+01 1.240000000000000036e+01 5.060000000000000142e+01
5.570000000000000284e+01 1.230000000000000071e+01 1.200000000000000000e+01 5.600000000000000000e+01
6.079999999999999716e+01 1.219999999999999929e+01 1.180000000000000071e+01 6.120000000000000284e+01
6.620000000000000284e+01 1.180000000000000071e+01 1.169999999999999929e+01 6.629999999999999716e+01
7.120000000000000284e+01 1.180000000000000071e+01 1.150000000000000000e+01 7.150000000000000000e+01
