# g[cm] b[cm] B[cm] 
1.500000000000000000e+01 5.420000000000000284e+01 4.599999999999999645e+00
1.700000000000000000e+01 5.000000000000000000e+01 3.799999999999999822e+00
1.900000000000000000e+01 4.650000000000000000e+01 3.299999999999999822e+00
2.100000000000000000e+01 4.450000000000000000e+01 2.899999999999999911e+00
2.300000000000000000e+01 4.270000000000000284e+01 2.600000000000000089e+00
2.500000000000000000e+01 4.160000000000000142e+01 2.399999999999999911e+00
2.700000000000000000e+01 4.089999999999999858e+01 2.100000000000000089e+00
2.900000000000000000e+01 4.050000000000000000e+01 2.000000000000000000e+00
3.100000000000000000e+01 3.970000000000000284e+01 1.800000000000000044e+00
3.300000000000000000e+01 3.950000000000000000e+01 1.699999999999999956e+00
