# g[cm] b[cm] B[cm] 
2.800000000000000000e+01 1.469999999999999929e+01 1.600000000000000089e+00
2.600000000000000000e+01 1.330000000000000071e+01 1.800000000000000044e+00
2.400000000000000000e+01 1.200000000000000000e+01 2.000000000000000000e+00
2.200000000000000000e+01 1.100000000000000000e+01 2.299999999999999822e+00
2.000000000000000000e+01 1.030000000000000071e+01 2.600000000000000089e+00
1.800000000000000000e+01 1.030000000000000071e+01 0.000000000000000000e+00
3.000000000000000000e+01 1.619999999999999929e+01 0.000000000000000000e+00
3.200000000000000000e+01 1.780000000000000071e+01 0.000000000000000000e+00
3.400000000000000000e+01 1.950000000000000000e+01 0.000000000000000000e+00
3.600000000000000000e+01 2.130000000000000071e+01 0.000000000000000000e+00
