# g[cm] b[cm] B[cm] 
2.000000000000000000e+01 1.889999999999999858e+01 2.899999999999999911e+00
2.200000000000000000e+01 1.700000000000000000e+01 2.399999999999999911e+00
2.400000000000000000e+01 1.619999999999999929e+01 2.200000000000000178e+00
2.600000000000000000e+01 1.540000000000000036e+01 1.899999999999999911e+00
2.800000000000000000e+01 1.459999999999999964e+01 1.800000000000000044e+00
3.000000000000000000e+01 1.440000000000000036e+01 1.600000000000000089e+00
3.200000000000000000e+01 1.380000000000000071e+01 1.500000000000000000e+00
3.400000000000000000e+01 1.369999999999999929e+01 1.399999999999999911e+00
1.800000000000000000e+01 2.119999999999999929e+01 3.600000000000000089e+00
1.600000000000000000e+01 2.480000000000000071e+01 4.599999999999999645e+00
