# U/V I/nA 
1.000000000000000021e-03 3.200000000000000067e-02
5.000000000000000278e-02 2.999999999999999889e-02
1.019999999999999934e-01 2.500000000000000139e-02
1.499999999999999944e-01 2.400000000000000050e-02
2.000000000000000111e-01 1.799999999999999864e-02
2.500000000000000000e-01 1.499999999999999944e-02
2.999999999999999889e-01 1.200000000000000025e-02
3.499999999999999778e-01 1.000000000000000021e-02
4.000000000000000222e-01 8.000000000000000167e-03
4.510000000000000120e-01 6.000000000000000125e-03
5.000000000000000000e-01 4.000000000000000083e-03
5.510000000000000453e-01 2.000000000000000042e-03
6.019999999999999796e-01 2.000000000000000042e-03
6.530000000000000249e-01 1.000000000000000021e-03
6.999999999999999556e-01 0.000000000000000000e+00
