# U/V I/nA 
1.000000000000000021e-03 5.799999999999999600e-01
1.019999999999999934e-01 4.799999999999999822e-01
2.000000000000000111e-01 4.000000000000000222e-01
3.009999999999999898e-01 3.200000000000000067e-01
4.010000000000000231e-01 2.399999999999999911e-01
5.030000000000000027e-01 1.600000000000000033e-01
6.039999999999999813e-01 1.000000000000000056e-01
7.019999999999999574e-01 5.999999999999999778e-02
8.010000000000000453e-01 4.000000000000000083e-02
9.020000000000000240e-01 2.000000000000000042e-02
1.000999999999999890e+00 1.000000000000000021e-02
1.102999999999999980e+00 0.000000000000000000e+00
