# t[s] U[V] R[MOhm] 
1.052500000000000036e+01 7.959999999999999432e+01 1.889999999999999902e+00
1.149799999999999933e+01 6.879999999999999716e+01 1.879999999999999893e+00
1.080700000000000038e+01 6.150000000000000000e+01 1.850000000000000089e+00
9.503999999999999559e+00 1.440000000000000000e+02 1.830000000000000071e+00
9.250999999999999446e+00 1.435999999999999943e+02 1.810000000000000053e+00
1.248900000000000077e+01 9.790000000000000568e+01 1.810000000000000053e+00
5.147000000000000242e+00 8.659999999999999432e+01 1.810000000000000053e+00
2.879299999999999926e+01 2.230000000000000071e+01 1.800000000000000044e+00
1.622800000000000153e+01 1.304000000000000057e+02 1.790000000000000036e+00
1.558799999999999919e+01 7.020000000000000284e+01 1.790000000000000036e+00
4.940000000000000391e+00 1.844000000000000057e+02 1.780000000000000027e+00
2.377299999999999969e+01 2.669999999999999929e+01 1.770000000000000018e+00
1.609900000000000020e+01 2.800000000000000000e+02 1.770000000000000018e+00
1.001399999999999935e+01 9.859999999999999432e+01 1.760000000000000009e+00
2.133200000000000074e+01 2.070000000000000000e+02 1.760000000000000009e+00
1.056099999999999994e+01 7.970000000000000284e+01 1.760000000000000009e+00
1.324699999999999989e+01 5.379999999999999716e+01 1.750000000000000000e+00
1.392900000000000027e+01 1.044000000000000057e+02 1.750000000000000000e+00
7.828000000000000291e+00 1.970000000000000000e+02 1.739999999999999991e+00
1.380400000000000027e+01 3.010000000000000000e+02 1.739999999999999991e+00
1.546000000000000085e+01 3.500000000000000000e+01 1.739999999999999991e+00
9.605000000000000426e+00 8.340000000000000568e+01 1.739999999999999991e+00
1.600700000000000145e+01 6.060000000000000142e+01 1.729999999999999982e+00
1.430400000000000027e+01 9.709999999999999432e+01 1.729999999999999982e+00
1.394599999999999973e+01 1.079000000000000057e+02 1.729999999999999982e+00
