# Abstand/cm  Spannung/V 
1.899999999999999911e+00 1.000000000000000000e+00
4.099999999999999645e+00 2.000000000000000000e+00
6.099999999999999645e+00 3.000000000000000000e+00
8.300000000000000711e+00 4.000000000000000000e+00
1.019999999999999929e+01 5.000000000000000000e+00
1.230000000000000071e+01 6.000000000000000000e+00
1.450000000000000000e+01 7.000000000000000000e+00
1.669999999999999929e+01 8.000000000000000000e+00
1.880000000000000071e+01 9.000000000000000000e+00
2.089999999999999858e+01 1.000000000000000000e+01
