# Abstand/cm Spannung/V 
1.300000000000000044e+00 2.000000000000000000e+00
2.700000000000000178e+00 4.000000000000000000e+00
4.200000000000000178e+00 6.000000000000000000e+00
5.400000000000000355e+00 8.000000000000000000e+00
6.799999999999999822e+00 1.000000000000000000e+01
8.000000000000000000e+00 1.200000000000000000e+01
9.400000000000000355e+00 1.400000000000000000e+01
1.050000000000000000e+01 1.600000000000000000e+01
1.200000000000000000e+01 1.800000000000000000e+01
1.350000000000000000e+01 2.000000000000000000e+01
1.450000000000000000e+01 2.200000000000000000e+01
1.580000000000000071e+01 2.400000000000000000e+01
1.719999999999999929e+01 2.600000000000000000e+01
1.850000000000000000e+01 2.800000000000000000e+01
