# Abstand/cm  Spannung/V 
2.100000000000000089e+00 5.000000000000000000e+00
4.000000000000000000e+00 1.000000000000000000e+01
6.000000000000000000e+00 1.500000000000000000e+01
7.900000000000000355e+00 2.000000000000000000e+01
9.800000000000000711e+00 2.500000000000000000e+01
1.180000000000000071e+01 3.000000000000000000e+01
1.380000000000000071e+01 3.500000000000000000e+01
1.580000000000000071e+01 4.000000000000000000e+01
1.969999999999999929e+01 5.000000000000000000e+01
2.169999999999999929e+01 5.500000000000000000e+01
