# Abstand/cm  Spannung/Volt 
2.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 2.000000000000000000e+00
6.099999999999999645e+00 3.000000000000000000e+00
8.199999999999999289e+00 4.000000000000000000e+00
1.030000000000000071e+01 5.000000000000000000e+00
1.250000000000000000e+01 6.000000000000000000e+00
1.459999999999999964e+01 7.000000000000000000e+00
1.669999999999999929e+01 8.000000000000000000e+00
1.880000000000000071e+01 9.000000000000000000e+00
2.130000000000000071e+01 1.000000000000000000e+01
