# ('x1cm', 'x2cm', 'Deltaymm')
2.399999999999999911e+00 2.899999999999999911e+00 3.000000000000000000e+00
2.899999999999999911e+00 3.299999999999999822e+00 3.000000000000000000e+00
3.299999999999999822e+00 3.500000000000000000e+00 2.000000000000000000e+00
3.500000000000000000e+00 3.799999999999999822e+00 2.000000000000000000e+00
3.799999999999999822e+00 4.500000000000000000e+00 6.000000000000000000e+00
4.500000000000000000e+00 4.900000000000000355e+00 4.000000000000000000e+00
4.900000000000000355e+00 5.299999999999999822e+00 4.000000000000000000e+00
5.299999999999999822e+00 5.799999999999999822e+00 5.000000000000000000e+00
5.799999999999999822e+00 6.500000000000000000e+00 9.000000000000000000e+00
6.500000000000000000e+00 6.900000000000000355e+00 4.000000000000000000e+00
6.900000000000000355e+00 7.299999999999999822e+00 5.000000000000000000e+00
7.299999999999999822e+00 7.799999999999999822e+00 5.000000000000000000e+00
7.799999999999999822e+00 8.199999999999999289e+00 5.000000000000000000e+00
8.199999999999999289e+00 8.599999999999999645e+00 4.000000000000000000e+00
8.599999999999999645e+00 9.000000000000000000e+00 4.000000000000000000e+00
9.000000000000000000e+00 9.199999999999999289e+00 2.000000000000000000e+00
9.199999999999999289e+00 9.500000000000000000e+00 3.000000000000000000e+00
9.500000000000000000e+00 9.699999999999999289e+00 2.000000000000000000e+00
9.699999999999999289e+00 9.900000000000000355e+00 2.000000000000000000e+00
9.900000000000000355e+00 1.019999999999999929e+01 2.000000000000000000e+00
1.019999999999999929e+01 1.050000000000000000e+01 2.000000000000000000e+00
1.050000000000000000e+01 1.090000000000000036e+01 2.000000000000000000e+00
1.090000000000000036e+01 1.119999999999999929e+01 2.000000000000000000e+00
1.119999999999999929e+01 1.219999999999999929e+01 2.000000000000000000e+00
1.219999999999999929e+01 1.619999999999999929e+01 2.000000000000000000e+00
