# x1/cm x2/cm Deltay/mm 
0.000000000000000000e+00 3.299999999999999822e+00 1.000000000000000000e+00
3.500000000000000000e+00 5.500000000000000000e+00 1.000000000000000000e+00
5.500000000000000000e+00 6.900000000000000355e+00 1.000000000000000000e+00
6.900000000000000355e+00 8.199999999999999289e+00 1.000000000000000000e+00
8.699999999999999289e+00 9.699999999999999289e+00 1.000000000000000000e+00
9.900000000000000355e+00 1.140000000000000036e+01 2.000000000000000000e+00
1.190000000000000036e+01 1.280000000000000071e+01 2.000000000000000000e+00
1.300000000000000000e+01 1.369999999999999929e+01 1.800000000000000044e+00
1.369999999999999929e+01 1.450000000000000000e+01 2.500000000000000000e+00
1.450000000000000000e+01 1.500000000000000000e+01 2.000000000000000000e+00
1.500000000000000000e+01 1.559999999999999964e+01 2.000000000000000000e+00
1.559999999999999964e+01 1.600000000000000000e+01 2.000000000000000000e+00
1.600000000000000000e+01 1.650000000000000000e+01 2.000000000000000000e+00
1.650000000000000000e+01 1.700000000000000000e+01 3.000000000000000000e+00
1.700000000000000000e+01 1.750000000000000000e+01 3.000000000000000000e+00
1.750000000000000000e+01 1.789999999999999858e+01 4.000000000000000000e+00
1.789999999999999858e+01 1.819999999999999929e+01 3.000000000000000000e+00
1.819999999999999929e+01 1.850000000000000000e+01 3.0
1.850000000000000000e+01 1.869999999999999929e+01 2.500000000000000000e+00
1.869999999999999929e+01 1.910000000000000142e+01 5.000000000000000000e+00
1.910000000000000142e+01 1.939999999999999858e+01 5.000000000000000000e+00
1.939999999999999858e+01 1.969999999999999929e+01 6.000000000000000000e+00
1.969999999999999929e+01 1.989999999999999858e+01 8.000000000000000000e+00
1.989999999999999858e+01 2.000000000000000000e+01 8.000000000000000000e+00
2.000000000000000000e+01 2.020000000000000071e+01 1.500000000000000000e+01
2.020000000000000071e+01 2.030000000000000000e+01 1.300000000000000000e+01
2.030000000000000000e+01 2.04e+01 		1.600000000000000000e+01
2.04e+01 		2.05e+01 		1.000000000000000000e+01
2.06e+01 		2.09e+01 		1.000000000000000000e+01
2.09e+01 		2.2e+01  		5.000000000000000000e+00
