Profile 1
x       y
[m]     [m]
0  2.4695339e-11
6.2366947e-10  2.3191719e-12
1.2473389e-09  7.7541927e-11
1.8710084e-09  1.5426398e-11
2.4946779e-09  -9.0038937e-12
3.1183473e-09  -2.1054059e-11
3.7420168e-09  4.7925659e-12
4.3656863e-09  -1.3611999e-11
4.9893557e-09  -2.3312976e-11
5.6130252e-09  -5.3804331e-11
6.2366947e-09  -1.6047926e-11
6.8603641e-09  -3.5702563e-11
7.4840336e-09  -3.1939609e-11            
8.1077031e-09  -3.5235883e-11
8.7313725e-09  -4.2350218e-11
9.355042e-09  -2.0853444e-11
9.9787115e-09  -1.1947049e-11
1.0602381e-08  -5.2400806e-11
1.122605e-08  3.0429745e-11
1.184972e-08  5.6888028e-11
1.2473389e-08  -2.9559261e-11
1.3097059e-08  -2.9696349e-11
1.3720728e-08  -3.7468922e-11
1.4344398e-08  -7.0485126e-12
1.4968067e-08  -2.0684832e-11
1.5591737e-08  -2.8884594e-11
1.6215406e-08  -2.1677443e-12
1.6839076e-08  -1.3136885e-11
1.7462745e-08  1.9624629e-11
1.8086415e-08  3.0410733e-11
1.8710084e-08  1.8483771e-11
1.9333753e-08  -8.5969644e-12
1.9957423e-08  -1.2173083e-11
2.0581092e-08  2.741945e-11
2.1204762e-08  -9.5021444e-13
2.1828431e-08  3.7281929e-12
2.2452101e-08  -8.0069888e-12
2.307577e-08  6.3675088e-11
2.369944e-08  8.1349655e-12
2.4323109e-08  5.8366789e-12
2.4946779e-08  2.9256372e-11
2.5570448e-08  4.1050032e-11
2.6194118e-08  3.6128567e-11
2.6817787e-08  1.9574414e-11
2.7441457e-08  8.9799437e-11
2.8065126e-08  2.3929828e-11
2.8688795e-08  1.4488152e-11
2.9312465e-08  1.5463291e-11
2.9936134e-08  1.8628859e-12
3.0559804e-08  -2.1132579e-11
3.1183473e-08  -3.8333068e-11
3.1807143e-08  -2.9227199e-11
3.2430812e-08  -8.2771179e-11
3.3054482e-08  -1.1206942e-10
3.3678151e-08  -1.0246501e-10
3.4301821e-08  -6.9555491e-11
3.492549e-08  -9.3396608e-11
3.554916e-08  -1.0084389e-10
3.6172829e-08  -8.9196208e-11
3.6796499e-08  -5.3298232e-11
3.7420168e-08  -4.183159e-11
3.8043837e-08  -7.4560007e-11
3.8667507e-08  -2.4428094e-11
3.9291176e-08  -7.2687121e-11
3.9914846e-08  -8.332324e-11
4.0538515e-08  -4.9906849e-11
4.1162185e-08  -9.5738641e-11
4.1785854e-08  -5.2259911e-11
4.2409524e-08  -4.9888745e-11
4.3033193e-08  3.4974088e-11
4.3656863e-08  2.3641803e-11
4.4280532e-08  8.6968781e-11
4.4904202e-08  5.3983997e-11
4.5527871e-08  6.1740473e-11
4.6151541e-08  1.4138555e-10
4.677521e-08  5.6959336e-11
4.7398879e-08  3.1304928e-11
