Profile 1
x       y
[m]     [m]
0  -5.8115356e-08
1.4329977e-10  -5.810735e-08
2.8659954e-10  -5.8099228e-08
4.2989932e-10  -5.809099e-08
5.7319909e-10  -5.8087021e-08
7.1649886e-10  -5.8098765e-08
8.5979863e-10  -5.8110629e-08
1.0030984e-09  -5.8122613e-08            
1.1463982e-09  -5.8134716e-08
1.2896979e-09  -5.8133281e-08
1.4329977e-09  -5.8129535e-08
1.5762975e-09  -5.8125753e-08
1.7195973e-09  -5.8121935e-08
1.862897e-09  -5.8118571e-08
2.0061968e-09  -5.8115646e-08
2.1494966e-09  -5.8112654e-08
2.2927964e-09  -5.8109594e-08
2.4360961e-09  -5.8107318e-08
2.5793959e-09  -5.8110594e-08
2.7226957e-09  -5.8113909e-08
2.8659954e-09  -5.8117265e-08
3.0092952e-09  -5.812066e-08
3.152595e-09  -5.8128765e-08
3.2958948e-09  -5.8138275e-08
3.4391945e-09  -5.8147801e-08
3.5824943e-09  -5.8157344e-08
3.7257941e-09  -5.8156717e-08
3.8690938e-09  -5.8141375e-08
4.0123936e-09  -5.8125997e-08
4.1556934e-09  -5.8110584e-08
4.2989932e-09  -5.8096339e-08
4.4422929e-09  -5.8106215e-08
4.5855927e-09  -5.8116067e-08
4.7288925e-09  -5.8125895e-08
4.8721923e-09  -5.81357e-08
5.015492e-09  -5.8128604e-08
5.1587918e-09  -5.8113696e-08
5.3020916e-09  -5.8098699e-08
5.4453913e-09  -5.8083615e-08
5.5886911e-09  -5.8076793e-08
5.7319909e-09  -5.8087445e-08
5.8752907e-09  -5.8098204e-08
6.0185904e-09  -5.8109071e-08
6.1618902e-09  -5.8120045e-08
6.30519e-09  -5.8123409e-08
6.4484897e-09  -5.8126419e-08
6.5917895e-09  -5.8129377e-08
6.7350893e-09  -5.8132283e-08
6.8783891e-09  -5.8137641e-08
7.0216888e-09  -5.8144679e-08
7.1649886e-09  -5.8151745e-08
7.3082884e-09  -5.8158838e-08
7.4515882e-09  -5.8162203e-08
7.5948879e-09  -5.8153562e-08
7.7381877e-09  -5.8144897e-08
7.8814875e-09  -5.8136207e-08
8.0247872e-09  -5.8127494e-08
8.168087e-09  -5.8139614e-08
8.3113868e-09  -5.8154774e-08
8.4546866e-09  -5.8170046e-08
8.5979863e-09  -5.8185429e-08
8.7412861e-09  -5.8191292e-08
8.8845859e-09  -5.8188052e-08
9.0278856e-09  -5.8184748e-08
9.1711854e-09  -5.818138e-08
9.3144852e-09  -5.8180937e-08
9.457785e-09  -5.819703e-08
9.6010847e-09  -5.8213139e-08
9.7443845e-09  -5.8229264e-08
9.8876843e-09  -5.8245405e-08
1.0030984e-08  -5.8232968e-08
1.0174284e-08  -5.8212911e-08
1.0317584e-08  -5.8192775e-08
1.0460883e-08  -5.8172558e-08
1.0604183e-08  -5.8168913e-08
1.0747483e-08  -5.8187516e-08
1.0890783e-08  -5.8206307e-08
1.1034082e-08  -5.8225286e-08
1.1177382e-08  -5.824391e-08
1.1320682e-08  -5.825511e-08
1.1463982e-08  -5.8266274e-08
1.1607282e-08  -5.8277401e-08
1.1750581e-08  -5.8288493e-08
1.1893881e-08  -5.828769e-08
1.2037181e-08  -5.8281938e-08
1.2180481e-08  -5.8276189e-08
1.232378e-08  -5.8270445e-08
1.246708e-08  -5.8268838e-08
1.261038e-08  -5.8275149e-08
1.275368e-08  -5.8281499e-08
1.2896979e-08  -5.828789e-08
1.3040279e-08  -5.829432e-08
1.3183579e-08  -5.8295972e-08
1.3326879e-08  -5.8297472e-08
1.3470179e-08  -5.8298909e-08
1.3613478e-08  -5.8300282e-08
1.3756778e-08  -5.8302735e-08
1.3900078e-08  -5.8305891e-08
1.4043378e-08  -5.8309067e-08
1.4186677e-08  -5.8312264e-08
1.4329977e-08  -5.8315035e-08
1.4473277e-08  -5.8316522e-08
1.4616577e-08  -5.8317989e-08
1.4759877e-08  -5.8319437e-08
1.4903176e-08  -5.8320864e-08
1.5046476e-08  -5.8324005e-08
1.5189776e-08  -5.8327349e-08
