# B(auf)/mT B(ab)/mT 
5.000000000000000000e+00 7.000000000000000000e+00
4.800000000000000000e+01 6.300000000000000000e+01
1.100000000000000000e+02 1.170000000000000000e+02
1.730000000000000000e+02 1.680000000000000000e+02
2.270000000000000000e+02 2.240000000000000000e+02
2.810000000000000000e+02 2.810000000000000000e+02
3.580000000000000000e+02 3.500000000000000000e+02
4.080000000000000000e+02 4.030000000000000000e+02
4.690000000000000000e+02 4.730000000000000000e+02
5.250000000000000000e+02 5.280000000000000000e+02
5.780000000000000000e+02 5.760000000000000000e+02
6.370000000000000000e+02 6.570000000000000000e+02
6.970000000000000000e+02 7.070000000000000000e+02
7.610000000000000000e+02 7.570000000000000000e+02
8.070000000000000000e+02 8.210000000000000000e+02
8.640000000000000000e+02 8.700000000000000000e+02
9.160000000000000000e+02 9.050000000000000000e+02
9.460000000000000000e+02 9.480000000000000000e+02
9.710000000000000000e+02 9.900000000000000000e+02
9.950000000000000000e+02 1.003000000000000000e+03
1.046000000000000000e+03 1.046000000000000000e+03
