# Abstand[mm] Photostrom[muA] 
-1.000000000000000000e+01 2.250000000000000000e+00
-9.000000000000000000e+00 3.069999999999999840e+00
-8.000000000000000000e+00 3.859999999999999876e+00
-7.000000000000000000e+00 5.009999999999999787e+00
-6.000000000000000000e+00 6.190000000000000391e+00
-5.000000000000000000e+00 7.440000000000000391e+00
-4.000000000000000000e+00 8.449999999999999289e+00
-3.000000000000000000e+00 9.359999999999999432e+00
-2.000000000000000000e+00 9.439999999999999503e+00
-1.000000000000000000e+00 9.250000000000000000e+00
0.000000000000000000e+00 8.820000000000000284e+00
1.000000000000000000e+00 8.119999999999999218e+00
2.000000000000000000e+00 7.160000000000000142e+00
3.000000000000000000e+00 6.059999999999999609e+00
4.000000000000000000e+00 4.969999999999999751e+00
5.000000000000000000e+00 3.759999999999999787e+00
6.000000000000000000e+00 2.729999999999999982e+00
7.000000000000000000e+00 1.879999999999999893e+00
8.000000000000000000e+00 1.199999999999999956e+00
9.000000000000000000e+00 7.399999999999999911e-01
1.000000000000000000e+01 4.099999999999999756e-01
