# Abstand/mm Photostrom/muA 
-1.000000000000000000e+01 5.200000000000000178e-01
-9.000000000000000000e+00 7.600000000000000089e-01
-8.000000000000000000e+00 1.020000000000000018e+00
-7.000000000000000000e+00 1.239999999999999991e+00
-6.000000000000000000e+00 1.399999999999999911e+00
-5.000000000000000000e+00 1.479999999999999982e+00
-4.000000000000000000e+00 1.290000000000000036e+00
-3.000000000000000000e+00 1.120000000000000107e+00
-2.000000000000000000e+00 8.199999999999999512e-01
-1.000000000000000000e+00 5.000000000000000000e-01
0.000000000000000000e+00 2.399999999999999911e-01
1.000000000000000000e+00 7.000000000000000666e-02
2.000000000000000000e+00 2.000000000000000042e-02
3.000000000000000000e+00 5.999999999999999778e-02
4.000000000000000000e+00 2.300000000000000100e-01
5.000000000000000000e+00 5.000000000000000000e-01
6.000000000000000000e+00 8.399999999999999689e-01
7.000000000000000000e+00 1.090000000000000080e+00
8.000000000000000000e+00 1.129999999999999893e+00
9.000000000000000000e+00 9.699999999999999734e-01
1.000000000000000000e+01 8.699999999999999956e-01
1.100000000000000000e+01 8.100000000000000533e-01
1.200000000000000000e+01 6.899999999999999467e-01
1.300000000000000000e+01 5.500000000000000444e-01
1.400000000000000000e+01 3.599999999999999867e-01
1.500000000000000000e+01 2.800000000000000266e-01
