# Abstand/mm Photostrom/muA
-1.000000000000000000e+01 2.300000000000000100e-01
-9.000000000000000000e+00 4.799999999999999822e-01
-8.000000000000000000e+00 8.199999999999999512e-01
-7.000000000000000000e+00 1.270000000000000018e+00
-6.000000000000000000e+00 1.560000000000000053e+00
-5.000000000000000000e+00 1.899999999999999911e+00
-4.000000000000000000e+00 2.029999999999999805e+00
-3.000000000000000000e+00 1.959999999999999964e+00
-2.000000000000000000e+00 1.500000000000000000e+00
-1.000000000000000000e+00 7.800000000000000266e-01
0.000000000000000000e+00 3.300000000000000155e-01
1.000000000000000000e+00 8.000000000000000167e-02
2.000000000000000000e+00 2.999999999999999889e-02
3.000000000000000000e+00 1.900000000000000022e-01
4.000000000000000000e+00 6.600000000000000311e-01
5.000000000000000000e+00 1.189999999999999947e+00
6.000000000000000000e+00 1.679999999999999938e+00
7.000000000000000000e+00 1.629999999999999893e+00
8.000000000000000000e+00 1.340000000000000080e+00
9.000000000000000000e+00 1.199999999999999956e+00
1.000000000000000000e+01 1.020000000000000018e+00
1.100000000000000000e+01 5.999999999999999778e-01
1.200000000000000000e+01 3.400000000000000244e-01
1.300000000000000000e+01 1.600000000000000033e-01
1.400000000000000000e+01 5.999999999999999778e-02
1.500000000000000000e+01 4.000000000000000083e-02
