# Winkel/grad Photostrom/mA
0.000000000000000000e+00 3.599999999999999867e-01
1.000000000000000000e+01 2.300000000000000100e-01
2.000000000000000000e+01 1.199999999999999956e-01
3.000000000000000000e+01 4.000000000000000083e-02
4.000000000000000000e+01 0.000000000000000000e+00
5.000000000000000000e+01 1.000000000000000021e-02
6.000000000000000000e+01 6e-02
7.000000000000000000e+01 1.600000000000000033e-01
8.000000000000000000e+01 2.800000000000000266e-01
9.000000000000000000e+01 4.099999999999999756e-01
1.000000000000000000e+02 5.000000000000000000e-01
1.100000000000000000e+02 6.199999999999999956e-01
1.200000000000000000e+02 7.099999999999999645e-01
1.300000000000000000e+02 7.500000000000000000e-01
1.400000000000000000e+02 7.399999999999999911e-01
1.500000000000000000e+02 6.899999999999999467e-01
1.600000000000000000e+02 6.099999999999999867e-01
1.700000000000000000e+02 5.100000000000000089e-01
1.800000000000000000e+02 3.599999999999999867e-01
1.900000000000000000e+02 2.399999999999999911e-01
2.000000000000000000e+02 1.400000000000000133e-01
2.100000000000000000e+02 5.999999999999999778e-02
2.200000000000000000e+02 1.000000000000000021e-02
2.300000000000000000e+02 0.000000000000000000e+00
2.400000000000000000e+02 2.999999999999999889e-02
2.500000000000000000e+02 1.000000000000000056e-01
2.600000000000000000e+02 2.099999999999999922e-01
2.700000000000000000e+02 3.400000000000000244e-01
2.800000000000000000e+02 4.699999999999999734e-01
2.900000000000000000e+02 5.799999999999999600e-01
3.000000000000000000e+02 6.700000000000000400e-01
3.100000000000000000e+02 7.399999999999999911e-01
3.200000000000000000e+02 7.600000000000000089e-01
3.300000000000000000e+02 7.299999999999999822e-01
3.400000000000000000e+02 6.400000000000000133e-01
3.500000000000000000e+02 5.200000000000000178e-01
3.600000000000000000e+02 3.900000000000000133e-01
