# Abstand/cm Photostrom/mA 
9.100000000000000000e+01 4.299999999999999933e-01
1.000000000000000000e+02 4.000000000000000222e-01
1.060000000000000000e+02 4.199999999999999845e-01
1.160000000000000000e+02 3.300000000000000155e-01
1.260000000000000000e+02 3.499999999999999778e-01
1.310000000000000000e+02 3.699999999999999956e-01
1.340000000000000000e+02 2.399999999999999911e-01
1.410000000000000000e+02 3.400000000000000244e-01
1.470000000000000000e+02 1.600000000000000033e-01
1.570000000000000000e+02 4.199999999999999845e-01
