# p/mbar t_1/s t_2/s t_3/s t_4/s t_5/s 
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+02 1.646999999999999886e+01 1.846999999999999886e+01 1.717999999999999972e+01 1.792999999999999972e+01 1.760999999999999943e+01
6.000000000000000000e+01 2.564000000000000057e+01 2.726000000000000156e+01 2.621000000000000085e+01 2.714000000000000057e+01 2.739999999999999858e+01
4.000000000000000000e+01 3.200000000000000000e+01 3.300000000000000000e+01 3.261999999999999744e+01 3.303000000000000114e+01 3.317000000000000171e+01
2.000000000000000000e+01 3.985000000000000142e+01 4.070000000000000284e+01 4.003000000000000114e+01 4.085000000000000142e+01 4.060000000000000142e+01
1.000000000000000000e+01 4.707000000000000028e+01 4.796999999999999886e+01 4.736999999999999744e+01 4.813000000000000256e+01 4.779999999999999716e+01
6.000000000000000000e+00 5.218999999999999773e+01 5.317000000000000171e+01 5.236999999999999744e+01 5.324000000000000199e+01 5.332999999999999829e+01
4.000000000000000000e+00 5.607000000000000028e+01 5.664000000000000057e+01 5.631000000000000227e+01 5.688000000000000256e+01 5.717000000000000171e+01
2.000000000000000000e+00 6.235000000000000142e+01 6.317999999999999972e+01 6.268999999999999773e+01 6.359000000000000341e+01 6.378000000000000114e+01
1.000000000000000000e+00 7.006999999999999318e+01 7.050000000000000000e+01 6.984000000000000341e+01 7.064000000000000057e+01 7.084999999999999432e+01
5.999999999999999778e-01 7.607999999999999829e+01 7.695000000000000284e+01 7.657999999999999829e+01 7.690999999999999659e+01 7.754999999999999716e+01
4.000000000000000222e-01 8.273000000000000398e+01 8.376999999999999602e+01 8.357999999999999829e+01 8.435999999999999943e+01 8.468999999999999773e+01
2.000000000000000111e-01 9.626000000000000512e+01 9.665000000000000568e+01 9.587999999999999545e+01 9.745000000000000284e+01 9.734000000000000341e+01
1.000000000000000056e-01 1.093799999999999955e+02 1.094099999999999966e+02 1.094300000000000068e+02 1.101599999999999966e+02 1.100999999999999943e+02
5.999999999999999778e-02 1.283400000000000034e+02 1.277699999999999960e+02 1.279200000000000017e+02 1.290099999999999909e+02 1.298700000000000045e+02
4.000000000000000083e-02 1.766299999999999955e+02 1.723799999999999955e+02 1.641500000000000057e+02 1.699600000000000080e+02 1.693300000000000125e+02
