# p/mbar t_1/s t_2/s t_3/s t_4/s t_5/s 
1.000000000000000021e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000125e-03 8.000000000000000444e-01 5.899999999999999689e-01 4.600000000000000200e-01 2.300000000000000100e-01 5.300000000000000266e-01
4.000000000000000083e-03 1.159999999999999920e+00 8.800000000000000044e-01 7.900000000000000355e-01 6.999999999999999556e-01 1.229999999999999982e+00
2.000000000000000042e-03 1.510000000000000009e+00 1.370000000000000107e+00 1.320000000000000062e+00 1.020000000000000018e+00 1.699999999999999956e+00
5.999999999999999474e-04 2.890000000000000124e+00 2.479999999999999982e+00 2.649999999999999911e+00 2.250000000000000000e+00 2.589999999999999858e+00
4.000000000000000192e-04 3.270000000000000018e+00 2.970000000000000195e+00 2.959999999999999964e+00 2.689999999999999947e+00 3.020000000000000018e+00
2.000000000000000096e-04 2.839999999999999858e+00 3.640000000000000124e+00 3.790000000000000036e+00 3.330000000000000071e+00 3.669999999999999929e+00
6.000000000000000152e-05 5.860000000000000320e+00 5.549999999999999822e+00 6.339999999999999858e+00 5.290000000000000036e+00 5.559999999999999609e+00
5.000000000000000240e-05 6.349999999999999645e+00 5.969999999999999751e+00 6.980000000000000426e+00 5.719999999999999751e+00 6.019999999999999574e+00
4.000000000000000327e-05 6.870000000000000107e+00 6.589999999999999858e+00 8.269999999999999574e+00 6.280000000000000249e+00 6.599999999999999645e+00
3.000000000000000076e-05 7.879999999999999893e+00 7.639999999999999680e+00 1.140000000000000036e+01 7.679999999999999716e+00 7.919999999999999929e+00
2.000000000000000164e-05 1.694000000000000128e+01 1.817000000000000171e+01 1.569999999999999929e+01 1.623999999999999844e+01 1.596000000000000085e+01
1.000000000000000082e-05 8.740000000000000568e+01 8.679000000000000625e+01 7.820000000000000284e+01 8.126000000000000512e+01 7.920000000000000284e+01
