# ('pmbar', 't_1s', 't_2s', 't_3s')
1.000000000000000048e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000096e-04 7.500000000000000000e-01 5.799999999999999600e-01 2.700000000000000178e-01
2.999999999999999737e-04 1.199999999999999956e+00 1.040000000000000036e+00 8.199999999999999512e-01
4.000000000000000192e-04 1.840000000000000080e+00 1.600000000000000089e+00 1.449999999999999956e+00
5.000000000000000104e-04 2.330000000000000071e+00 2.290000000000000036e+00 2.009999999999999787e+00
5.999999999999999474e-04 2.970000000000000195e+00 2.740000000000000213e+00 2.549999999999999822e+00
6.999999999999999929e-04 3.509999999999999787e+00 3.310000000000000053e+00 3.020000000000000018e+00
8.000000000000000383e-04 4.030000000000000249e+00 3.959999999999999964e+00 3.629999999999999893e+00
8.999999999999999754e-04 4.639999999999999680e+00 4.549999999999999822e+00 4.139999999999999680e+00
1.000000000000000021e-03 5.730000000000000426e+00 5.490000000000000213e+00 5.269999999999999574e+00
2.000000000000000042e-03 1.000999999999999979e+01 9.949999999999999289e+00 9.869999999999999218e+00
3.000000000000000062e-03 1.456000000000000050e+01 1.450000000000000000e+01 1.428999999999999915e+01
4.000000000000000083e-03 1.871999999999999886e+01 1.873000000000000043e+01 1.828999999999999915e+01
5.000000000000000104e-03 2.258999999999999986e+01 2.241000000000000014e+01 2.207000000000000028e+01
6.000000000000000125e-03 2.598999999999999844e+01 2.610999999999999943e+01 2.550000000000000000e+01
