# p/mbar t_1/s t_2/s t_3/s 
2.999999999999999737e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000383e-04 6.999999999999999556e-01 5.899999999999999689e-01 7.600000000000000089e-01
2.000000000000000042e-03 2.700000000000000178e+00 2.729999999999999982e+00 3.259999999999999787e+00
3.000000000000000062e-03 4.299999999999999822e+00 4.190000000000000391e+00 4.740000000000000213e+00
4.000000000000000083e-03 5.709999999999999964e+00 5.730000000000000426e+00 6.120000000000000107e+00
5.000000000000000104e-03 7.040000000000000036e+00 7.009999999999999787e+00 7.400000000000000355e+00
6.000000000000000125e-03 8.259999999999999787e+00 8.240000000000000213e+00 8.650000000000000355e+00
7.000000000000000146e-03 9.220000000000000639e+00 9.279999999999999361e+00 9.800000000000000711e+00
8.000000000000000167e-03 1.041999999999999993e+01 1.041999999999999993e+01 1.099000000000000021e+01
8.999999999999999320e-03 1.151999999999999957e+01 1.148000000000000043e+01 1.202999999999999936e+01
